maker,name,kakakucom-id,mount,lens-type,focus-mode,lens-class,support-FF,support-APSC,lens_construction,aperture_blades,focal_length,minimum_focusing_distance,maximum_magnification,maximum_aperture,angle_of_view,stabilization,splash-proof,dust-proof,wide-lens,telephoto-lens,macro-lens,high-magnification-lens,fisheye-lens,aori-lens,mirror-lens,blank_1,large-diameter,pancake,filter-diameter,size,weight,blank_2,model_number,minimum_focusing_distance,maximum_focusing_distance,maximum_aperture,minimum_aperture,maximum_angle_of_view,minimum_angle_of_view,minimum_shooting_distance,minimum_shooting_distance_tele,minimum_shooting_distance_wide,teleconverter_14x,teleconverter_20x,sensor_size,description,grade
SONY,FE 300mm F2.8 GM OSS SEL300F28GM,K0001582425,α Eマウント系,単焦点,AF/MF,大口径望遠単焦点レンズ,TRUE,　,17群21枚,11 枚,300 mm,2m,0.16倍,F2.8,8.1 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,TRUE,　,40.5 mm,124x265 mm,1470 g, ,,,,,,,,,,,,,,,
シグマ,70-200mm F2.8 DG DN OS [ソニーE用],K0001585549,α Eマウント系,望遠ズーム,AF/MF,大口径望遠ズームレンズ,TRUE,　,15群20枚,11 枚,70〜200 mm,W：65cm/T：100cm,01:05.2,F2.8,34.3〜12.3 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,TRUE,　,77 mm,90.6x207 mm,1335 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 8-16mm F3.5-5 ZOOM CF [ソニーE用],K0001585565,α Eマウント系,広角ズーム,MF,超広角ズームレンズ,　,TRUE,12群16枚,5 枚,8〜16 mm,20cm,0.125倍,F3.5-5,82.8〜120.9 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,86 mm,　,　, ,,,,,,,,,,,,,,,
VILTROX,AF 75mm F1.2 E Pro [ソニーE用],K0001563668,α Eマウント系,単焦点,AF/MF,超大口径レンズ,　,TRUE,11群16枚,11 枚,75 mm,0.88m,0.1倍,F1.2,21.35 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,77 mm,87x101 mm,　, ,,,,,,,,,,,,,,,
シグマ,10-18mm F2.8 DC DN [ソニーE用],K0001575108,α Eマウント系,広角ズーム,AF/MF,超広角ズームレンズ,　,TRUE,10群13枚,7 枚,10〜18 mm,W：11.6cm/T：19.1cm,W：1：4/T：1：6.9,F2.8,109.7〜76.5 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,67 mm,72.2x64 mm,255 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 500mm f/6.3 Telephoto [ソニーE用],K0001578527,α Eマウント系,単焦点,MF,超望遠レンズ,TRUE,　,5群8枚,12 枚,500 mm,3.3m,　,F6.3,　,　,　,　,　,TRUE,　,　,　,　,　, ,　,　,82 mm,88x317 mm,1605 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Aurogon FF 10-50X NA0.5 Supermicro APO [ソニーE用],K0001578633,α Eマウント系,単焦点,MF,顕微鏡レンズ,TRUE,　,　,9 枚,　,　,　,　,　,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
TAMRON,17-50mm F/4 Di III VXD (Model A068),K0001570042,α Eマウント系,広角ズーム,AF/MF,広角ズームレンズ,TRUE,　,13群15枚,9 枚,17〜50 mm,0.19m(WIDE)/0.3m(TELE),1：4.6(WIDE)/1：3.8(TELE),F4,103.41〜46.48 度,　,TRUE,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,74.8x114.4 mm,460 g, ,,,,,,,,,,,,,,,
TAMRON,70-180mm F/2.8 Di III VC VXD G2 (Model A065),K0001568580,α Eマウント系,望遠ズーム,AF/MF,大口径望遠ズームレンズ,TRUE,　,15群20枚,9 枚,70〜180 mm,0.3m(WIDE)/0.85m(TELE),1：2.6(WIDE)/1：4.7(TELE),F2.8,34.21〜13.42 度,TRUE,TRUE,　,　,TRUE,　,　,　,　,　, ,TRUE,　,67 mm,83x156.5 mm,855 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII + Twist 60 & NDフィルター [ソニーE用],K0001576308,α Eマウント系,単焦点,MF,マニュアルフォーカスレンズ,TRUE,　,3群4枚,12 枚,60 mm,45.7cm,　,F2.5,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
Lensbaby,Twist 60 & ダブルグラス II オプティック・スワップ・キット [ソニーE用],K0001576301,α Eマウント系,単焦点,MF,マニュアルフォーカスレンズ,TRUE,　,　,12 枚,　,　,　,F2.5,　,　,　,　,　,　,　,　,　,　,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
SONY,FE 16-35mm F2.8 GM II SEL1635GM2,K0001563468,α Eマウント系,広角ズーム,AF/MF,大口径広角ズームレンズ,TRUE,　,12群15枚,11 枚,16〜35 mm,0.22m,0.32倍,F2.8,107〜63 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,82 mm,87.8x111.5 mm,547 g, ,,,,,,,,,,,,,,,
VILTROX,AF 16mm F1.8 FE,K0001553714,α Eマウント系,単焦点,AF/MF,超広角・大口径オートフォーカスレンズ,TRUE,　,12群15枚,9 枚,16 mm,0.27m,0.1倍,F1.8,105.6 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,77 mm,85.2x103 mm,550 g, ,,,,,,,,,,,,,,,
SONY,FE 70-200mm F4 Macro G OSS II SEL70200G2,K0001552472,α Eマウント系,望遠ズーム,AF/MF,望遠ズームレンズ,TRUE,　,13群19枚,9 枚,70〜200 mm,0.26m(W)/0.42m(T),0.5倍,F4,34〜12.3 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,72 mm,82.2x149 mm,794 g, ,,,,,,,,,,,,,,,
SAMYANG,V-AF 45mm T1.9,K0001552978,α Eマウント系,単焦点,AF/MF,シネオートフォーカスレンズ,TRUE,　,　,9 枚,45 mm,0.38m,　,　,52.3 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,72.2x72.1 mm,280 g, ,,,,,,,,,,,,,,,
中一光学,APO 200mm F4 MACRO 1X [ソニーE用],K0001551777,α Eマウント系,単焦点,MF,望遠等倍マクロレンズ,TRUE,　,7群11枚,9 枚,200 mm,0.48m,1倍,F4,　,　,　,　,　,TRUE,TRUE,　,　,　,　, ,　,　,67 mm,75x214 mm,1230 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 25mm T2 C 1.33X [ソニーE用],K0001551205,α Eマウント系,単焦点,MF,アナモルフィックレンズ,　,TRUE,7群9枚,11 枚,25 mm,0.5m,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,72x65 mm,300 g, ,,,,,,,,,,,,,,,
シグマ,14mm F1.4 DG DN [ソニーE用],K0001543816,α Eマウント系,単焦点,AF/MF,大口径超広角レンズ,TRUE,　,15群19枚,11 枚,14 mm,30cm,01:11.9,F1.4,114.2 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,101.4x151.9 mm,1160 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 18mm F6.3 II 1863EB2 [ソニーE用],K0001543890,α Eマウント系,単焦点,MF,ボディキャップレンズ,　,TRUE,5群6枚,　,18 mm,0.3m,　,F6.3,　,　,　,　,　,　,　,　,　,　,　, ,　,　,　,56x10 mm,55 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan AF 27mm f/2.8 [ソニーE用],K0001538939,α Eマウント系,単焦点,AF,単焦点レンズ,　,TRUE,5群6枚,7 枚,27 mm,0.35m,　,F2.8,56 度,　,　,　,　,　,　,　,　,　,　, ,　,　,39 mm,61x31 mm,90 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan T&S 100mm f/2.8 MACRO 2X [ソニーE用],K0001538941,α Eマウント系,単焦点,MF,中望遠マクロレンズ,TRUE,　,10群14枚,12 枚,100 mm,0.25m,　,F2.8,24 度,　,　,　,　,　,TRUE,　,　,TRUE,　, ,　,　,67 mm,72x149 mm,835 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Argus 28mm F1.2 FF [ソニーE用],K0001540178,α Eマウント系,単焦点,MF,大口径レンズ,TRUE,　,7群13枚,13 枚,28 mm,50cm,0.073倍,F1.2,75.4 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,62 mm,68.5x106.31 mm,562 g, ,,,,,,,,,,,,,,,
SIRUI,35mm T2.9 1.6X カーボンファイバーフルサイズアナモルフィックレンズ Saturn E35B [ソニーE用],K0001528487,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群18枚,10 枚,35 mm,0.9m,1：22.87(V)、 1：40.08(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,58 mm,　,415 g, ,,,,,,,,,,,,,,,
SIRUI,35mm T2.9 1.6X カーボンファイバーフルサイズアナモルフィックレンズ Saturn E35N [ソニーE用],K0001528492,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群18枚,10 枚,35 mm,0.9m,1：22.87(V)、 1：40.08(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,58 mm,　,415 g, ,,,,,,,,,,,,,,,
SIRUI,フルサイズアナモルフィックレンズセット Venus Set A-E [ソニーE用],K0001528497,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,　,　, ,,,,,,,,,,,,,,,
Machang Optical,KamLan KL 70mm F1.1 [ソニーE用],K0001538472,α Eマウント系,単焦点,MF,ハイスピードレンズ,　,TRUE,7群9枚,　,70 mm,0.8m,　,F1.1,24 度,　,　,　,　,　,　,　,　,　,　, ,　,　,77 mm,　,　, ,,,,,,,,,,,,,,,
SAMYANG,AF 35-150mm F2-2.8 FE,K0001533182,α Eマウント系,標準ズーム,AF/MF,大口径ズームレンズ,TRUE,　,18群21枚,9 枚,35〜150 mm,0.33m(35mm)〜0.85m(150mm),0.175倍〜0.18倍,F2-2.8,16.4〜61.8 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,82 mm,　,1231 g, ,,,,,,,,,,,,,,,
VILTROX,AF 13mm F1.4 E [ソニーE用],K0001564545,α Eマウント系,単焦点,AF/MF,超広角レンズ,　,TRUE,11群14枚,9 枚,13 mm,0.22m,0.1倍,F1.4,94.06 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,74x90 mm,420 g, ,,,,,,,,,,,,,,,
シグマ,23mm F1.4 DC DN [ソニーE用],K0001526984,α Eマウント系,単焦点,AF/MF,大口径広角レンズ,　,TRUE,10群13枚,9 枚,23 mm,25cm,01:07.3,F1.4,63.4 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,52 mm,65.8x78.9 mm,330 g, ,,,,,,,,,,,,,,,
シグマ,17mm F4 DG DN [ソニーE用],K0001526982,α Eマウント系,単焦点,AF/MF,超広角レンズ,TRUE,　,8群9枚,7 枚,17 mm,12cm,01:03.6,F4,103.7 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,55 mm,64x50.8 mm,220 g, ,,,,,,,,,,,,,,,
シグマ,50mm F2 DG DN [ソニーE用],K0001526987,α Eマウント系,単焦点,AF/MF,標準レンズ,TRUE,　,9群11枚,9 枚,50 mm,45cm,01:06.9,F2,46.8 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,70x70 mm,345 g, ,,,,,,,,,,,,,,,
